Region,Type,Composition,X,Y,Z,Color
C1,Asteroid,Mg Pb,762284.456537175,1586956.16568122,-8354.88892899093,#FF75C9F1
C1,Asteroid,Fe,758341.983731123,1581198.17879496,4290.17330596211,#FF75C9F1
C1,Asteroid,Pb Ni,760268.104239921,1567463.85235122,891.965502824514,#FF75C9F1
C1,Asteroid,W,740228.204341988,1566437.52196253,-379.874408248932,#FF75C9F1
C1,Asteroid,Fe,733379.749726134,1572777.74671645,5856.61435883853,#FF75C9F1
C1,Asteroid,Ni Cu,738427.445035203,1579961.78958473,3201.64408733093,#FF75C9F1
C1,Asteroid,Co,732255.520239099,1579199.44302333,11871.7870207294,#FF75C9F1
C1,Asteroid,Fe,728026.552398725,1572714.12904045,15583.4393264219,#FF75C9F1
C1,Asteroid,Fe Pb,710625.032402892,1591049.6053757,13884.3164450934,#FF75C9F1
C1,Asteroid,Co Pb,716923.268086855,1591802.60753917,14775.6096391043,#FF75C9F1
C1,Asteroid,Si,721877.605926941,1598096.75666823,11229.2059688836,#FF75C9F1
C1,Asteroid,W,738951.146118248,1612655.14323336,6065.77455585443,#FF75C9F1
C1,Asteroid,Cu Ni,757549.885166493,1613922.8161637,-8626.50312104794,#FF75C9F1
C1,Asteroid,Co,762854.64400813,1619886.68251552,-4962.08209884612,#FF75C9F1
C1,Asteroid,Pb Mg,763310.391799248,1619854.95470408,4008.53020165268,#FF75C9F1
C1,Asteroid,Ti Ni,751519.096229024,1613337.76874427,-9139.78313337859,#FF75C9F1
C1,Asteroid,Co Si,743578.223413528,1618571.5594415,2968.63326589906,#FF75C9F1
C1,Asteroid,Co Ni,742613.753120363,1618716.61138849,-6972.91499550498,#FF75C9F1
C1,Asteroid,Si,759214.373826852,1613470.17317792,781.774240503895,#FF75C9F1
C1,Asteroid,Co Ni,761139.147806233,1600155.88139191,4284.88592499762,#FF75C9F1
C1,Asteroid,Si,759620.901007822,1613437.88909933,10266.1682714698,#FF75C9F1
C1,Asteroid,Co,752548.386503956,1613389.72716161,319.750022697139,#FF75C9F1
C1,Asteroid,Si,761235.690878846,1633097.89657884,503.996582177731,#FF75C9F1
C1,Asteroid,Co Pb,760331.525847834,1633273.67897485,-8855.68891781822,#FF75C9F1
C1,Asteroid,Cu Ni,759270.761113182,1639256.76629972,3706.69668927536,#FF75C9F1
C1,Asteroid,Fe,730803.270879071,1618058.61380851,11642.242015674,#FF75C9F1
C1,Asteroid,Co,737606.101396676,1618542.73474366,12172.5612601184,#FF75C9F1
C1,Asteroid,Au Ni,761656.502801791,1600147.4678567,13636.3427689051,#FF75C9F1
C1,Asteroid,Fe,758734.05125314,1600754.49796071,-14450.1965303446,#FF75C9F1
C1,Asteroid,Fe,732446.394526565,1568503.51313042,-15378.2754338234,#FF75C9F1
C1,Asteroid,Ti Ag,730129.273856589,1561038.91674949,-18739.037175089,#FF75C9F1
C1,Asteroid,Fe Ni,709014.212506765,1562060.40923292,-17457.4114089831,#FF75C9F1
C1,Asteroid,Co,707043.430948555,1548341.50176493,-14523.5147753084,#FF75C9F1
C1,Asteroid,Mg,711257.238828554,1569290.96408975,-14327.9921784873,#FF75C9F1
C1,Asteroid,Ni,706843.195397414,1576809.79358515,-17575.15867162,#FF75C9F1
C1,Asteroid,Ni Si,690269.925957195,1570665.61076217,-19751.9212337515,#FF75C9F1
C1,Asteroid,Mg,688465.376445062,1556639.38938479,-16785.6517423472,#FF75C9F1
C1,Asteroid,Si,692273.432015761,1570902.57744846,-5730.74169168681,#FF75C9F1
C1,Asteroid,Si Fe,690461.235829502,1576759.36820765,-9146.96888224095,#FF75C9F1
C1,Asteroid,Fe,688332.29044105,1590136.15032986,-5796.99780511171,#FF75C9F1
C1,Asteroid,Mg Pb,681524.901051893,1589468.1109539,-6600.24870010525,#FF75C9F1
C1,Asteroid,Si,676981.888173386,1583451.65527117,-10007.7184526554,#FF75C9F1
C1,Asteroid,Ag W,671886.621184944,1578915.88273311,-14761.8658514848,#FF75C9F1
C1,Asteroid,Si Cu,665377.5041368,1569711.70081958,-6825.45053645283,#FF75C9F1
C1,Asteroid,W Ni,670025.717314123,1571698.86394199,-18588.7615450701,#FF75C9F1
C1,Asteroid,Ag,658071.590222239,1580010.62103966,-14181.6769376701,#FF75C9F1
C1,Asteroid,Fe,648691.930756047,1573239.62036458,-17269.4503753266,#FF75C9F1
C1,Asteroid,W,629817.127291619,1581474.01282618,-19356.6266373923,#FF75C9F1
C1,Asteroid,Mg Fe,614715.172074876,1567995.44618185,-15482.2058788171,#FF75C9F1
C1,Asteroid,Ni,605322.037210508,1560969.43749628,-18383.3107502466,#FF75C9F1
C1,Asteroid,Ni Pb,607477.064571952,1568164.47417471,-15041.8769812682,#FF75C9F1
C1,Asteroid,Ni,605088.211966908,1572919.4613424,-4031.09639371418,#FF75C9F1
C1,Asteroid,Ni,600517.281449309,1559472.74715518,-7829.91980269038,#FF75C9F1
C1,Asteroid,Fe,609842.961393809,1547217.45324694,-14980.2831828245,#FF75C9F1
C1,Asteroid,Ag Fe,604289.242493486,1540368.28600971,-6830.8596719601,#FF75C9F1
C1,Asteroid,Pb Mg,596018.986365852,1547903.16252322,-14155.2445220487,#FF75C9F1
C1,Asteroid,Ti,598230.481329952,1561912.30680485,-17614.6720731543,#FF75C9F1
C1,Asteroid,Co Ni,587183.632984672,1558629.98029614,-8133.25075037647,#FF75C9F1
C1,Asteroid,Ni,573306.751151343,1558251.59299826,-9081.94648257885,#FF75C9F1
C1,Asteroid,Cu,574419.5433307,1558338.39477072,-17.1123455787056,#FF75C9F1
C1,Asteroid,Ag,559110.182251351,1570392.48905784,2341.98634872264,#FF75C9F1
C1,Asteroid,Ni Pt,558342.899109202,1569889.73733104,-7167.82445239224,#FF75C9F1
C1,Asteroid,Ni,553186.966498899,1556608.31778766,-10498.8443973544,#FF75C9F1
C1,Asteroid,W,546720.662595975,1550350.83539308,-6913.95552425407,#FF75C9F1
C1,Asteroid,Ni Pt,546990.650266203,1556516.74865256,-4221.88976738178,#FF75C9F1
C1,Asteroid,Ag,536476.189204431,1549549.8369938,1242.0928955195,#FF75C9F1
C1,Asteroid,Cu,537469.310358992,1549721.94925689,10592.639130008,#FF75C9F1
C1,Asteroid,Co Mg,538693.31508975,1536006.64346002,4698.57055578805,#FF75C9F1
C1,Asteroid,Ni U,747754.684271835,1600105.71038715,3846.78825023911,#FF75C9F1
C1,Asteroid,Pt,670102.19,1582954.71,-3931.58,#FF75C9F1
C1,Asteroid,Ni Si,690779.46,1570704.7,-19761.34,#FF75C9F1
C1,Asteroid,Pb Si,687813.65,1557648.44,-8978.85,#FF75C9F1
C1,Asteroid,Co,689802.99,1550857.77,-5643.36,#FF75C9F1
C1,Asteroid,Mg,688583.33,1557042.77,194.21,#FF75C9F1
C1,Asteroid,Fe,681960.3,1557054.86,6663.33,#FF75C9F1
C1,Asteroid,Si Mg,670529.11,1550103.83,2916.97,#FF75C9F1
C1,Asteroid,Ni W,700485.27,1538548.98,10485.84,#FF75C9F1
C1,Asteroid,Cu Co,706729.1,1538903.46,11120.23,#FF75C9F1
C1,Asteroid,Ag Si,712857.2,1539189.55,1934.09,#FF75C9F1
C1,Asteroid,Fe Au,708321.55,1525986.2,5397.99,#FF75C9F1
C1,Asteroid,W Cu,709832.01,1552314.33,-4630.34,#FF75C9F1
C1,Asteroid,Ni,711900.29,1539178.24,-7601.89,#FF75C9F1
C1,Asteroid,W,711671.63,1540818.82,-17929.42,#FF75C9F1
C1,Asteroid,Co,706825.6,1547886.93,-14609.6,#FF75C9F1
C1,Asteroid,Fe,707938.82,1558464.92,-8190.25,#FF75C9F1
C1,Asteroid,Co Pb,708880.68,1558239.83,1686.47,#FF75C9F1
C1,Asteroid,Cu Si,710044.52,1558628.41,11054.99,#FF75C9F1
C1,Asteroid,Fe,706302.64,1571511.4,4908.53,#FF75C9F1
C1,Asteroid,Pb,712185.45,1578293.94,10684.31,#FF75C9F1
C1,Asteroid,W,711416.33,1578027.01,989.32,#FF75C9F1
C1,Asteroid,Si W,709423.26,1591120.69,4406.23,#FF75C9F1
C1,Asteroid,Ag,707055.98,1597763.82,951.72,#FF75C9F1
C1,Asteroid,W,708377.99,1591285.14,-4744.67,#FF75C9F1
C1,Asteroid,Mg Si,708847.9,1590769.79,-14008.26,#FF75C9F1
C1,Asteroid,Ni U,719697.5,1597927.11,-7721.86,#FF75C9F1
C1,Asteroid,Ni Fe,692230.64,1577019.9,16027.68,#FF75C9F1
C1,Asteroid,Fe Pb,689427.76,1590135.66,3275.84,#FF75C9F1
C1,Asteroid,Si,692573.04,1570441.35,-5798.57,#FF75C9F1
C1,Asteroid,Si Cu,665438,1569992.21,-7389.71,#FF75C9F1
C1,Asteroid,Ag Mg,691162.69,1518512.29,10180.81,#FF75C9F1
C1,Asteroid,Fe Si,690107.19,1576991.35,-9414.89,#FF75C9F1
C1,Asteroid,Si U,626251.89,1599856.53,-6001.05,#FF75C9F1
C1,Asteroid,Ni,626946.88,1599842.14,2819.51,#FF75C9F1
C1,Asteroid,Co,629020.69,1593689.99,6547.14,#FF75C9F1
C1,Asteroid,W Cu,627962.68,1599934.86,12385.63,#FF75C9F1
C1,Asteroid,Cu,625160.62,1580467.11,12540.18,#FF75C9F1
C1,Asteroid,Si,729560.93,1589887.44,-15350.23,#FF75C9F1
C1,Asteroid,Mg,686890.69,1537635.03,16696.33,#FF75C9F1
C1,Asteroid,Ni Cu,691529.68,1550986.59,13423.23,#FF75C9F1
C1,Asteroid,Si,689577.85,1557372.78,16394.67,#FF75C9F1
C1,Asteroid,Ni,687334.46,1570377.67,12833.31,#FF75C9F1
C1,Asteroid,Ice,739751.79,1599341.98,-6078.97,#FF75C9F1
C1,Asteroid,Co,721936.26,1591806.73,-3712.28,#FF75C9F1
C1,Asteroid,U Ni,712930.01,1597578.45,-8573.4,#FF75C9F1
C1,Asteroid,Pt,710559.08,1598253.25,-17288.45,#FF75C9F1
C1,Asteroid,Si,691252.77,1576975.24,-232.27,#FF75C9F1
C1,Asteroid,Fe Si,690035.24,1576881.58,-9411.09,#FF75C9F1
C1,Asteroid,Ni,669560.46,1549759.8,-6789.39,#FF75C9F1
C1,Asteroid,Ni,671189.11,1582663.7,5261.3,#FF75C9F1
C1,Asteroid,Fe,668852.33,1588559.01,2096.45,#FF75C9F1
C1,Asteroid,W Mg,668325.15,1588721.4,-7394.74,#FF75C9F1
C1,Asteroid,Pb Mg,681473.21,1589482.06,-6650.17,#FF75C9F1
C1,Asteroid,Fe,688431.09,1590076.36,-5924.75,#FF75C9F1
C1,Asteroid,Si Cu,689748.42,1599164.25,-15966.85,#FF75C9F1
C1,Asteroid,W Ni,629947.46,1593173.79,16028.13,#FF75C9F1
C1,Asteroid,Ti Ni,688843.12,1531552.58,13432.79,#FF75C9F1
C2,Asteroid,Ag,-598461.223245387,1602087.1093066,13958.4758564856,#FF75C9F1
C2,Asteroid,Ag,-665423.574252933,1612224.35114755,14526.8523832902,#FF75C9F1
C2,Asteroid,Ag,-660196.666396448,1662729.85594656,-10371.2569871,#FF75C9F1
C2,Asteroid,Ag,-734609.933832593,1438417.59079686,2057.84469219542,#FF75C9F1
C2,Asteroid,Co,-602725.286108491,1601860.69969489,-8004.10830323139,#FF75C9F1
C2,Asteroid,Co,-745686.411026347,1477986.37231589,-9890.40157042487,#FF75C9F1
C2,Asteroid,Co,-603811.438777156,1602091.58966709,2867.7925198274,#FF75C9F1
C2,Asteroid,Co,-644132.13459123,1582919.95238305,16564.5768044271,#FF75C9F1
C2,Asteroid,Co,-684921.478200405,1613777.02379762,4680.99836117229,#FF75C9F1
C2,Asteroid,Co,-690148.270262405,1631073.46713159,-14730.1208015623,#FF75C9F1
C2,Asteroid,Co,-681455.934269234,1628388.28976836,5210.21795624465,#FF75C9F1
C2,Asteroid,Co,-683036.012676666,1649657.29554524,-6010.17845249878,#FF75C9F1
C2,Asteroid,Co,-727544.09913787,1413503.76605853,-7784.29718781769,#FF75C9F1
C2,Asteroid,Co,-732618.373850762,1415984.18017473,2169.01188421488,#FF75C9F1
C2,Asteroid,Cu,-644132.13459123,1582919.95238305,16564.5768044271,#FF75C9F1
C2,Asteroid,Cu,-700955.864566087,1629778.33438289,-4595.27117718184,#FF75C9F1
C2,Asteroid,Cu,-683919.577616105,1649730.41933159,4918.3446335274,#FF75C9F1
C2,Asteroid,Cu,-746871.687566276,1445973.68643741,-6728.0332235273,#FF75C9F1
C2,Asteroid,Fe,-603111.580946979,1609162.74694998,10918.6581481125,#FF75C9F1
C2,Asteroid,Fe,-675682.168424772,1649168.30381929,-6402.97415662513,#FF75C9F1
C2,Asteroid,Fe,-643635.539693107,1668884.78126673,-8105.9053279855,#FF75C9F1
C2,Asteroid,Fe,-732622.166777949,1416034.68925164,2135.4331140095,#FF75C9F1
C2,Asteroid,Fe,-722380.471190644,1426749.33651647,-4402.15530086886,#FF75C9F1
C2,Asteroid,Fe,-724367.707555095,1433707.39848591,-8240.98751049321,#FF75C9F1
C2,Asteroid,Fe,-756058.56721428,1439403.84318189,3387.12580163358,#FF75C9F1
C2,Asteroid,Fe,-756118.628589522,1425359.21908221,-6486.91011830838,#FF75C9F1
C2,Asteroid,Fe,-742604.048074122,1458987.57251729,-9388.36547208094,#FF75C9F1
C2,Asteroid,Fe,-751636.19168073,1464603.91650378,-16133.901693812,#FF75C9F1
C2,Asteroid,Fe,-583565.998057013,1600763.20890508,1729.2147887077,#FF75C9F1
C2,Asteroid,Fe,-600646.404432973,1609259.92084232,-4456.2701968413,#FF75C9F1
C2,Asteroid,Fe,-603810.638913263,1602090.63865715,2867.44179113678,#FF75C9F1
C2,Asteroid,Fe,-663225.66520664,1619751.18566582,11379.9878144156,#FF75C9F1
C2,Asteroid,Fe,-670204.865506902,1620481.076943,12046.8370090445,#FF75C9F1
C2,Asteroid,Fe,-686155.326000541,1613718.19432189,16019.1544569155,#FF75C9F1
C2,Asteroid,Fe,-682958.443265229,1621191.5401504,1570.87053787908,#FF75C9F1
C2,Asteroid,Fe,-704818.775142043,1622464.72031772,13773.9232759328,#FF75C9F1
C2,Asteroid,Ice,-603111.583835808,1609162.74829767,10918.6582684841,#FF75C9F1
C2,Asteroid,Ice,-661010.294658982,1598672.05202446,11250.2571060933,#FF75C9F1
C2,Asteroid,Ice,-727560.710378525,1413442.75896966,-7730.508270455,#FF75C9F1
C2,Asteroid,Ice,-734609.978998609,1438417.4179453,2057.75802227354,#FF75C9F1
C2,Asteroid,Ice,-741135.084634257,1446309.2177139,10932.4885179648,#FF75C9F1
C2,Asteroid,Mg,-593812.206144792,1608832.49084141,-4836.36006241778,#FF75C9F1
C2,Asteroid,Mg,-682124.478827968,1621382.34392375,-9837.34452241087,#FF75C9F1
C2,Asteroid,Mg,-702903.87294685,1629680.43096107,10333.3067995963,#FF75C9F1
C2,Asteroid,Mg,-726224.675074152,1446724.78193274,-4248.87347114587,#FF75C9F1
C2,Asteroid,Mg,-732573.691695355,1445577.20997937,6078.15040471649,#FF75C9F1
C2,Asteroid,Mg,-745624.740947928,1477987.29412979,-9945.70560243397,#FF75C9F1
C2,Asteroid,Ni,-602725.287215126,1601860.69951652,-8004.10851917902,#FF75C9F1
C2,Asteroid,Ni,-733492.92481979,1445287.32285104,9943.29988771176,#FF75C9F1
C2,Asteroid,Ni,-746878.185892384,1445962.40544678,-6706.21068857872,#FF75C9F1
C2,Asteroid,Ni,-744408.041845317,1464913.85934141,-16177.821030448,#FF75C9F1
C2,Asteroid,Ni,-751736.143829167,1464505.70068347,-16119.528646937,#FF75C9F1
C2,Asteroid,Ni,-601738.424307652,1609576.15160359,6584.58425622157,#FF75C9F1
C2,Asteroid,Ni,-684921.478543683,1613777.01893468,4680.99585497579,#FF75C9F1
C2,Asteroid,Ni,-682124.474420949,1621382.33448102,-9837.32821569765,#FF75C9F1
C2,Asteroid,Ni,-704154.010887242,1622465.82881368,2405.86346889114,#FF75C9F1
C2,Asteroid,Ni,-685836.68052229,1642224.29498081,1484.99620056703,#FF75C9F1
C2,Asteroid,Ni,-683920.915530304,1649731.15239481,4919.21179284558,#FF75C9F1
C2,Asteroid,Ni,-662086.878705093,1648458.65510489,-7197.79224522548,#FF75C9F1
C2,Asteroid,Ni,-644686.394648877,1668868.44137792,3157.48630030969,#FF75C9F1
C2,Asteroid,Pb,-683976.385591029,1621165.98197849,12188.4315273633,#FF75C9F1
C2,Asteroid,Pb,-704818.769643038,1622464.70771,13773.9091102557,#FF75C9F1
C2,Asteroid,Pb,-681455.929741933,1628388.28952848,5210.21847763628,#FF75C9F1
C2,Asteroid,Pb,-724367.714705149,1433707.39754231,-8240.98615469616,#FF75C9F1
C2,Asteroid,Pb,-726231.140387051,1446726.44739756,-4219.69772519672,#FF75C9F1
C2,Asteroid,Pb,-744765.712155642,1439149.32979907,-9855.99466389856,#FF75C9F1
C2,Asteroid,Pt,-581223.882715535,1607979.21070817,5377.19345331451,#FF75C9F1
C2,Asteroid,Pt,-686155.319563627,1613718.17683928,16019.1740611514,#FF75C9F1
C2,Asteroid,Pt,-701822.114920496,1629771.81557914,5969.6765183166,#FF75C9F1
C2,Asteroid,Si,-593812.219410998,1608832.44410599,-4836.37558510641,#FF75C9F1
C2,Asteroid,Si,-690148.314979463,1631073.46899569,-14730.1351468804,#FF75C9F1
C2,Asteroid,Si,-675682.168424772,1649168.30381929,-6402.97415662513,#FF75C9F1
C2,Asteroid,Si,-663248.875941211,1648451.01447104,3671.69986431165,#FF75C9F1
C2,Asteroid,Si,-660794.17703242,1662533.28103167,678.672387866809,#FF75C9F1
C2,Asteroid,Ti,-665403.261838466,1612282.94899144,14576.1425196275,#FF75C9F1
C2,Asteroid,Ti,-701822.114920496,1629771.81557914,5969.6765183166,#FF75C9F1
C2,Asteroid,Ti,-682992.168318564,1649597.83245339,-5864.75365274356,#FF75C9F1
C2,Asteroid,Ti,-725257.718002868,1407491.42820624,-3862.51594935119,#FF75C9F1
C2,Asteroid,U,-663248.860826963,1648451.0331663,3671.68917865916,#FF75C9F1
C2,Asteroid,U,-758036.915110454,1425599.02043543,-0.488254767373292,#FF75C9F1
C2,Asteroid,W,-583526.75290556,1600914.88134083,1728.01685756704,#FF75C9F1
C2,Asteroid,W,-744423.341804336,1464909.49917818,-16155.0994149547,#FF75C9F1
C2,Asteroid,W,-661010.289440416,1598672.04746387,11250.255687473,#FF75C9F1
C2,Asteroid,W,-700955.862948432,1629778.33559695,-4595.27095405185,#FF75C9F1
C2,Asteroid,W,-694957.469486698,1629007.18991618,5657.13142360303,#FF75C9F1
C2,Asteroid,W,-660196.669048378,1662729.85638704,-10371.258294051,#FF75C9F1
C2,Asteroid,W,-644650.538142843,1668783.52841304,3116.35504879573,#FF75C9F1
C2,Asteroid,W,-733537.746375538,1445221.6180231,9936.67803041881,#FF75C9F1
C2,Asteroid,W,-741135.088157709,1446309.28032957,10932.4752023692,#FF75C9F1
C2,Asteroid,W,-756106.910425156,1425363.90643357,-6473.81468297215,#FF75C9F1
C2,Asteroid,Ti,-713550.291042393,1579773.17980577,14060.1748810035,#FF75C9F1
C2,Asteroid,Ice,-844039.484848754,1516144.97329486,14301.8670253468,#FF75C9F1
C2,Asteroid,Fe,-846306.072382086,1509180.80051932,11129.1746186998,#FF75C9F1
C2,Asteroid,Pb,-846306.072382086,1509180.80051932,11129.1746186998,#FF75C9F1
C2,Asteroid,Si,-848264.836689384,1495136.69078466,14425.3949575213,#FF75C9F1
C2,Asteroid,W,-849126.527881947,1487976.59658889,6437.56613049775,#FF75C9F1
C2,Asteroid,Cu,-855516.4260326,1485703.61641278,-6168.33121193264,#FF75C9F1
C2,Asteroid,Mg,-855516.689295509,1485708.1042644,-6160.07820694585,#FF75C9F1
C2,Asteroid,Fe,-865829.1862336,1474775.90003135,3984.93773024256,#FF75C9F1
C2,Asteroid,Co,-865829.185752218,1474775.90029327,3984.93672886962,#FF75C9F1
C2,Asteroid,Co,-600220.415695331,1587741.67570584,10778.919379199,#FF75C9F1
C2,Asteroid,Ice,-620798.683072503,1588662.60385007,11926.5884287042,#FF75C9F1
C2,Asteroid,Au,-622944.536437801,1581547.41733178,14940.4650575091,#FF75C9F1
C2,Asteroid,W,-679961.413255938,1642133.96169537,12929.7057795933,#FF75C9F1
C2,Asteroid,Co,-679961.413255938,1642133.96169537,12929.7057795933,#FF75C9F1
C2,Asteroid,Si,-670192.539028221,1649488.20749413,4800.15854550515,#FF75C9F1
C2,Asteroid,Ice,-670173.895564743,1649469.6760613,4786.71800595139,#FF75C9F1
C2,Asteroid,Au,-680728.455106661,1663837.453274,-9439.8651242816,#FF75C9F1
C2,Asteroid,Au,-529456.079916063,1633391.45337287,13336.8361141018,#FF75C9F1
C2,Asteroid,Ag,-529456.079916063,1633391.45337287,13336.8361141018,#FF75C9F1
C2,Asteroid,Fe,-528538.75266838,1633705.2292434,2634.61641904583,#FF75C9F1
C2,Asteroid,Ag,-528538.75266838,1633705.2292434,2634.61641904583,#FF75C9F1
C2,Asteroid,Ice,-538796.839303654,1648582.12829891,14516.5926410523,#FF75C9F1
C2,Asteroid,Fe,-548156.6655441,1641945.9995308,11837.2396070945,#FF75C9F1
C2,Asteroid,Co,-548156.675429813,1641946.01784656,11837.2178268122,#FF75C9F1
C2,Asteroid,Mg,-550327.982273514,1634941.34153429,14847.1265732158,#FF75C9F1
C2,Asteroid,Ice,-549214.749046339,1634617.05439474,3467.40899433336,#FF75C9F1
C2,Asteroid,Co,-549211.553119493,1634617.60807974,3462.67784876514,#FF75C9F1
C2,Asteroid,Ag,-548222.715424687,1634706.72588871,-7798.65507230195,#FF75C9F1
C2,Asteroid,W,-548222.730334251,1634706.75795365,-7798.62491061715,#FF75C9F1
E1,Asteroid,Pb,-1705317.84269767,268052.466911764,16204.9792459515,#FF75C9F1
Greek,Asteroid,Ag Au,-1532298.76364809,-2584906.29756105,-117846.098918216,#FF75C9F1
Greek,Asteroid,Ag Au,-1597115.10230575,-2660289.25201311,-80483.7780772407,#FF75C9F1
Greek,Asteroid,Ag Co,-1514571.23659234,-2596650.94800258,-152682.654269302,#FF75C9F1
Greek,Asteroid,Ag Co,-1535066.93601011,-2598122.57964022,-102307.47195796,#FF75C9F1
Greek,Asteroid,Ag Co,-1562061.41302472,-2658476.4811486,-87234.3451037184,#FF75C9F1
Greek,Asteroid,Ag Co,-1646773.40414891,-2657463.8612829,-66289.9979597069,#FF75C9F1
Greek,Asteroid,Ag Fe,-1515473.84941153,-2636566.04642783,-89493.3731064353,#FF75C9F1
Greek,Asteroid,Ag Fe,-1603035.49720437,-2645595.40391188,-65263.2882558911,#FF75C9F1
Greek,Asteroid,Ag Ice,-1540545.44662139,-2618194.84962045,-130948.603682258,#FF75C9F1
Greek,Asteroid,Ag Ice,-1553509.12962371,-2579682.48197697,-106386.075499381,#FF75C9F1
Greek,Asteroid,Ag Ice,-1605498.06913868,-2688399.57248341,-54672.2300027198,#FF75C9F1
Greek,Asteroid,Ag Ni,-1604415.89130693,-2681094.72709226,-46904.5597319845,#FF75C9F1
Greek,Asteroid,Ag Ni,-1631861.98719139,-2650721.35220644,-59148.4807869661,#FF75C9F1
Greek,Asteroid,Ag Pb,-1575111.04018668,-2639963.85830803,-48311.0629186069,#FF75C9F1
Greek,Asteroid,Ag Si,-1542925.33028139,-2657338.09936246,-102225.690790008,#FF75C9F1
Greek,Asteroid,Ag W,-1544784.08551718,-2585482.34303251,-109055.266510257,#FF75C9F1
Greek,Asteroid,Ag W,-1554112.94632224,-2605595.74048305,-109445.441545035,#FF75C9F1
Greek,Asteroid,Ag,-1522864.71084392,-2671516.7424503,-81571.5058832135,#FF75C9F1
Greek,Asteroid,Ag,-1525722.37578729,-2617497.55055204,-152292.479234525,#FF75C9F1
